REGION,DISTRICT,VILLAGE,LATITUDE,LONGITUDE
BAY,BAIDOA,MANYAFUUL,3.1372566667,43.6783616667
BAY,BAIDOA,MANYAFUUL,3.1374550000,43.6780850000
BAY,BAIDOA,MANYAFUUL,3.1375900000,43.6781300000
BAY,BAIDOA,MANYAFUUL,3.1376450000,43.6779783333
BAY,BAIDOA,MANYAFUUL,3.1378116667,43.6767816667
BAY,BAIDOA,MANYAFUUL,3.1379150000,43.6780133333
BAY,BAIDOA,BOONKEY,3.1539350000,43.6324433333
BAY,BAIDOA,BOONKEY,3.1539666667,43.6319500000
BAY,BAIDOA,BOONKEY,3.1539700000,43.6323616667
BAY,BAIDOA,BOONKEY,3.1539883333,43.6327216667
BAY,BAIDOA,BOONKEY,3.1539883333,43.6321466667
BAY,BAIDOA,BOONKEY,3.1539966667,43.6322016667
BAY,BAIDOA,BOONKEY,3.1540000000,43.6322850000
BAY,BAIDOA,BOONKEY,3.1540116667,43.6326433333
BAY,BAIDOA,BOONKEY,3.1540250000,43.6323016667
BAY,BAIDOA,BOONKEY,3.1540816667,43.6326016667
BAY,BAIDOA,BOONKEY,3.1540983333,43.6327333333
BAY,BAIDOA,BOONKEY,3.1541116667,43.6327800000
BAY,BAIDOA,BOONKEY,3.1541183333,43.6321666667
BAY,BAIDOA,BOONKEY,3.1541183333,43.6323483333
BAY,BAIDOA,BOONKEY,3.1541450000,43.6324333333
BAY,BAIDOA,BOONKEY,3.1541550000,43.6327016667
BAY,BAIDOA,BOONKEY,3.1542000000,43.6325133333
BAY,BAIDOA,BOONKEY,3.1542250000,43.6325766667
BAY,BAIDOA,BOONKEY,3.1542650000,43.6321800000
BAY,BAIDOA,BOONKEY,3.1542966667,43.6327266667
BAY,BAIDOA,AWDINLE,3.1685016667,43.4081483333
BAY,BAIDOA,AWDINLE,3.1685900000,43.4084416667
BAY,BAIDOA,AWDINLE,3.1688416667,43.4075550000
BAY,BAIDOA,AWDINLE,3.1688633333,43.4088483333
BAY,BAIDOA,AWDINLE,3.1689300000,43.4080500000
GALGADUUD,BAIDOA,AWDIN,3.1690550000,43.4079016667
BAY,BAIDOA,AWDINLE,3.1690583333,43.4083833333
BAY,BAIDOA,AWDINLE,3.1690733333,43.4081033333
BAY,BAIDOA,AWDINLE0,3.1691100000,43.4076133333
BAY,BAIDOA,AWDINLE,3.1691266667,43.4082766667
BAY,BAIDOA,AWDINLE,3.1691483333,43.4074950000
BAY,BAIDOA,AWDINLE,3.1691533333,43.4075733333
BAY,BAIDOA,AWDINLE,3.1692116667,43.4080700000
BAY,BAIDOA,AWDIJLE,3.1692933333,43.4081550000
BAY,BAIDOA,AWDINLE,3.1693133333,43.4081550000
BAY,BAIDOA,BAAREY,3.1734700000,43.4117600000
BAY,BAIDOA,BAAREY,3.1735533333,43.4112566667
BAY,BAIDOA,BAAREY,3.1740366667,43.4114033333
BAY,BAIDOA,BAAREY,3.1742700000,43.4113016667
BAY,BAIDOA,BAAREY,3.1743500000,43.4118983333
BAY,BAIDOA,BAAREY,3.1745350000,43.4114366667
BAY,BAIDOA,BAAREY,3.1747533333,43.4115050000
BAY,BAIDOA,BAAREY,3.1748366667,43.4116050000
BAY,BAIDOA,BAAREY,3.1751533333,43.4115200000
BAY,BAIDOA,BAAREY,3.1752150000,43.4115716667
BAY,BAIDOA,BAAREY,3.1752833333,43.4117133333
BAY,BAIDOA,BAAREY,3.1761233333,43.4115783333
BAY,BAIDOA,BAAREY,3.1762266667,43.4114466667
BAY,BAIDOA,BAAREY,3.1764816667,43.4114366667
BAY,BAIDOA,BAAREY,3.1766666667,43.4112233333
BAY,BAIDOA,BAAREY,3.1800583333,43.4081650000
BAY,BAIDOA,BAAREY,3.1800783333,43.4079800000
BAY,BAIDOA,BAAREY,3.1803383333,43.4082833333
BAY,BAIDOA,BAAREY,3.1804483333,43.4074450000
BAY,BAIDOA,BAAREY,3.1809066667,43.4086316667
